CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
11052	13589	2.016	11052	0.9036	11052.0	6	H2
9356	11318	-28.031	9356	0.9562	9356.0	6	C2H4
8768	9356	-14.016	8768	0.9479	8768.0	6	methanol (-H2O):CH2
9356	11052	0.000	9356	0.9118	9356.0	6	 
9503	14049	-31.990	9503	0.9102	9503.0	6	O2
9356	9503	-28.031	9356	0.9046	9356.0	6	C2H4
13877	14049	-0.000	13877	0.9054	13877.0	6	 
10039	11052	14.016	10039	0.9173	10039.0	6	methanol (-H2O):CH2
10039	12502	-14.016	10039	0.9389	10039.0	6	methanol (-H2O):CH2
62	160	0.037	62	0.9523	62.0	7	 
6280	14306	1.008	6280	0.7236	6280.0	8	isotope_13C:H
6956	14306	17.003	6956	0.8326	6956.0	8	OH
6956	14315	15.997	6956	0.8809	6956.0	8	O
6280	6956	-15.995	6280	0.8167	6280.0	8	O
985	7543	-0.036	985	0.8788	985.0	10	 
2630	4433	-0.000	2630	0.8569	2630.0	10	 
985	5221	-0.036	985	0.894	985.0	10	 
3093	5221	-2.016	3093	0.8453	3093.0	10	H2
2630	5221	-0.000	2630	0.8652	2630.0	10	 
3682	5221	-0.000	3682	0.9245	3682.0	10	 
5221	7543	0.000	5221	0.9425	5221.0	10	 
9822	11647	48.917	9822	0.9978	9822.0	11	 
9193	10886	-44.027	9193	0.9878	9193.0	11	H2N3:C2H4O
12515	12528	17.026	12515	0.9918	12515.0	11	adduct_rel_H_NH4 or NH3
10345	11647	-42.046	10345	0.9924	10345.0	11	C3H6
11647	14010	-28.032	11647	0.9932	11647.0	11	C2H4
10942	12561	-28.031	10942	0.9948	10942.0	11	C2H4
12704	14010	-14.016	12704	0.9974	12704.0	11	methanol (-H2O):CH2
12561	12704	-14.015	12561	0.9879	12561.0	11	methanol (-H2O):CH2
10585	12561	-14.016	10585	0.985	10585.0	11	methanol (-H2O):CH2
10345	10585	-28.031	10345	0.998	10345.0	11	C2H4
10585	14010	-42.047	10585	0.9976	10585.0	11	C3H6
10585	11647	-14.015	10585	0.995	10585.0	11	methanol (-H2O):CH2
9193	10585	-14.016	9193	0.989	9193.0	11	methanol (-H2O):CH2
12515	14032	-14.016	12515	0.9996	12515.0	11	methanol (-H2O):CH2
10345	12704	-56.062	10345	0.9949	10345.0	11	C4H8
11742	12704	-28.031	11742	0.9929	11742.0	11	C2H4
9822	12561	48.916	9822	0.9946	9822.0	11	 
9822	10585	62.932	9822	0.9927	9822.0	11	 
12528	13573	44.026	12528	0.9896	12528.0	11	H2N3:C2H4O
9822	14010	20.885	9822	0.9918	9822.0	11	 
10345	11742	-28.031	10345	0.9974	10345.0	11	C2H4
11647	12704	-14.016	11647	0.995	11647.0	11	methanol (-H2O):CH2
9739	13573	-70.078	9739	0.9891	9739.0	11	C5H10
10942	11742	-14.016	10942	0.9875	10942.0	11	methanol (-H2O):CH2
9739	10409	-14.016	9739	0.9889	9739.0	11	methanol (-H2O):CH2
9193	9822	-76.948	9193	0.9987	9193.0	11	 
9822	10345	90.963	9822	0.988	9822.0	11	 
10585	11742	-0.000	10585	0.9963	10585.0	11	 
10593	12528	-28.031	10593	0.9924	10593.0	11	C2H4
12561	14010	-28.031	12561	0.9876	12561.0	11	C2H4
9193	10942	-0.001	9193	0.9943	9193.0	11	 
10593	14032	-59.074	10593	0.996	10593.0	11	C3H9N
10345	14010	-70.078	10345	0.993	10345.0	11	C5H10
10942	11647	-28.031	10942	0.993	10942.0	11	C2H4
9822	11742	62.932	9822	0.9932	9822.0	11	 
14010	14032	44.026	14010	0.9938	14010.0	11	H2N3:C2H4O
11742	14010	-42.047	11742	0.9897	11742.0	11	C3H6
9193	12561	-28.032	9193	0.9968	9193.0	11	C2H4
10593	12515	-45.058	10593	0.9964	10593.0	11	C2H7N
12515	12704	-44.026	12515	0.9962	12515.0	11	H2N3:C2H4O
9193	11647	-28.032	9193	0.9981	9193.0	11	C2H4
9193	11742	-14.016	9193	0.9927	9193.0	11	methanol (-H2O):CH2
9822	12704	34.901	9822	0.9915	9822.0	11	 
9822	10942	76.948	9822	0.9892	9822.0	11	 
9193	14010	-56.064	9193	0.9875	9193.0	11	C4H8
10585	12704	-28.031	10585	0.9974	10585.0	11	C2H4
11647	12561	-0.000	11647	0.9962	11647.0	11	 
9193	12704	-42.047	9193	0.9897	9193.0	11	C3H6
10409	13573	-56.062	10409	0.9985	10409.0	11	C4H8
12528	14032	-31.043	12528	0.9942	12528.0	11	CH5N
11371	11754	0.023	11371	0.9142	11371.0	12	 
10953	12257	0.023	10953	0.9249	10953.0	12	 
10953	11754	0.023	10953	0.9476	10953.0	12	 
10953	11687	0.000	10953	0.9986	10953.0	12	 
11687	12733	0.023	11687	0.9977	11687.0	12	 
11687	11754	0.023	11687	0.9494	11687.0	12	 
11754	12257	0.000	11754	0.8879	11754.0	12	 
10953	12733	0.023	10953	0.9966	10953.0	12	 
11371	11687	0.000	11371	0.9643	11371.0	12	 
11371	12257	0.023	11371	0.9149	11371.0	12	 
11754	12733	0.000	11754	0.9385	11754.0	12	 
11687	12257	0.023	11687	0.9213	11687.0	12	 
10953	11371	0.000	10953	0.9724	10953.0	12	 
11371	12733	0.023	11371	0.9561	11371.0	12	 
12257	12733	0.000	12257	0.9071	12257.0	12	 
9236	11497	-0.000	9236	0.9027	9236.0	14	 
11497	13364	-14.016	11497	0.7957	11497.0	14	methanol (-H2O):CH2
